building_id,resident_population
santo_domingo_228,0.3789
santo_domingo_229,0.3966
santo_domingo_230,0.2243
santo_domingo_231,12.4827
santo_domingo_232,1.3832
santo_domingo_233,0.8051
santo_domingo_234,1.6979
santo_domingo_235,0.5784
santo_domingo_236,0.7339
santo_domingo_237,2.1377
santo_domingo_238,2.1510
santo_domingo_239,0.3725
santo_domingo_240,0.5611
santo_domingo_241,3.2067
santo_domingo_242,2.0752
santo_domingo_243,0.9692
santo_domingo_244,1.0106
santo_domingo_245,0.8334
santo_domingo_246,0.9739
santo_domingo_247,0.7217
santo_domingo_248,0.9064
santo_domingo_249,0.3777
santo_domingo_250,0.6470
santo_domingo_251,1.5070
santo_domingo_252,0.5798
santo_domingo_253,8.4583
santo_domingo_254,0.7640
santo_domingo_255,1.2785
santo_domingo_256,0.6701
santo_domingo_257,1.0702
santo_domingo_258,2.0780
santo_domingo_259,1.0853
santo_domingo_260,3.5068
santo_domingo_261,10.7370
santo_domingo_262,1.5496
santo_domingo_263,1.4970
santo_domingo_264,1.8038
santo_domingo_265,0.7146
santo_domingo_266,17.1919
santo_domingo_267,63.2434
santo_domingo_268,47.7405
santo_domingo_269,7.8050
santo_domingo_270,109.0025
santo_domingo_271,3.4673
santo_domingo_272,4.2409
santo_domingo_273,10.1075
santo_domingo_274,3.2303
santo_domingo_275,28.2893
santo_domingo_276,4.0547
santo_domingo_277,1.4025
santo_domingo_278,8.5834
santo_domingo_279,3.3925
santo_domingo_280,1.4186
santo_domingo_281,2.2637
santo_domingo_282,1.9271
santo_domingo_283,0.7185
santo_domingo_284,2.2045
santo_domingo_285,2.4518
santo_domingo_286,4.5631
santo_domingo_287,4.1712
santo_domingo_288,1.4203
santo_domingo_289,1.2634
santo_domingo_290,17.5118
santo_domingo_291,2.0881
santo_domingo_292,1.8214
santo_domingo_293,1.2062
santo_domingo_294,16.7768
santo_domingo_295,14.7293
santo_domingo_296,16.5128
santo_domingo_297,2.2499
santo_domingo_298,6.8682
santo_domingo_299,8.1627
santo_domingo_300,7.7321
santo_domingo_301,2.3965
santo_domingo_302,1.5188
santo_domingo_303,6.7454
santo_domingo_304,7.1443
santo_domingo_305,2.3979
santo_domingo_306,10.2453
santo_domingo_307,1.6054
santo_domingo_308,10.3139
santo_domingo_309,1.4748
santo_domingo_310,1.0794
santo_domingo_311,2.1813
santo_domingo_312,1.3264
santo_domingo_313,39.4692
santo_domingo_314,14.2250
santo_domingo_315,8.0664
santo_domingo_316,12.9774
santo_domingo_317,3.8188
santo_domingo_318,2.8201
santo_domingo_319,10.5353
santo_domingo_320,9.3893
santo_domingo_321,0.1977
santo_domingo_322,0.2542
santo_domingo_323,0.3058
santo_domingo_324,0.6306
santo_domingo_325,0.8399
santo_domingo_326,0.3444
santo_domingo_327,0.3764
santo_domingo_328,0.2793
santo_domingo_329,0.3492
santo_domingo_330,0.5056
santo_domingo_331,3.2588
santo_domingo_332,1.9439
santo_domingo_333,0.6921
santo_domingo_334,2.7314
santo_domingo_335,1.2698
santo_domingo_336,0.9942
santo_domingo_337,0.2914
santo_domingo_338,0.6493
santo_domingo_339,1.4262
santo_domingo_340,0.6481
santo_domingo_341,1.3468
santo_domingo_342,0.2375
santo_domingo_343,0.2153
santo_domingo_344,0.4588
santo_domingo_345,0.7633
santo_domingo_346,0.5356
santo_domingo_347,0.6096
santo_domingo_348,0.3192
santo_domingo_349,0.6813
santo_domingo_350,0.3528
santo_domingo_351,0.2849
santo_domingo_352,0.3742
santo_domingo_353,0.2741
santo_domingo_354,0.3353
santo_domingo_355,0.3522
santo_domingo_356,3.1345
santo_domingo_357,2.6257
santo_domingo_358,0.3877
santo_domingo_359,0.6012
santo_domingo_360,0.4555
santo_domingo_361,3.5420
santo_domingo_362,7.0591
santo_domingo_363,6.9477
santo_domingo_364,3.4684
santo_domingo_365,1.3680
santo_domingo_366,4.0985
santo_domingo_367,2.4651
santo_domingo_368,3.6768
santo_domingo_369,0.8508
santo_domingo_370,0.8503
santo_domingo_371,0.5918
santo_domingo_372,0.5416
santo_domingo_373,0.9963
santo_domingo_374,1.1703
santo_domingo_375,2.3980
santo_domingo_376,2.0809
santo_domingo_377,1.0204
santo_domingo_378,0.6433
santo_domingo_379,0.6090
santo_domingo_380,0.3806
santo_domingo_381,1.2227
santo_domingo_382,1.1579
santo_domingo_383,2.1885
santo_domingo_384,6.3594
santo_domingo_385,25.7913
santo_domingo_386,52.3082
santo_domingo_387,8.7202
santo_domingo_388,3.3963
santo_domingo_389,18.5656
santo_domingo_390,3.4241
santo_domingo_391,16.1310
santo_domingo_392,20.3899
santo_domingo_393,7.0546
santo_domingo_394,4.3389
santo_domingo_395,2.8769
santo_domingo_396,3.1266
santo_domingo_397,2.9599
santo_domingo_398,57.0768
santo_domingo_399,23.2680
santo_domingo_400,5.1912
santo_domingo_401,26.6368
santo_domingo_402,20.0413
santo_domingo_403,7.2078
santo_domingo_404,14.9382
santo_domingo_405,13.0981
santo_domingo_406,3.3843
santo_domingo_407,0.5309
santo_domingo_408,7.9883
santo_domingo_409,6.5202
santo_domingo_410,46.3642
santo_domingo_411,25.9657
santo_domingo_412,11.2405
santo_domingo_413,2.3572
santo_domingo_414,3.4140
santo_domingo_415,6.2850
santo_domingo_416,30.8851
santo_domingo_417,15.1000
santo_domingo_418,4.9501
santo_domingo_419,2.3023
santo_domingo_420,22.4582
santo_domingo_421,28.7069
santo_domingo_422,8.1589
santo_domingo_423,1.9322
santo_domingo_424,5.6895
santo_domingo_425,3.0239
santo_domingo_426,14.2928
santo_domingo_427,19.5366
santo_domingo_428,8.1224
santo_domingo_429,11.8944
santo_domingo_430,10.6655
santo_domingo_431,19.8258
santo_domingo_432,1.5979
santo_domingo_433,34.4309
santo_domingo_434,3.7220
santo_domingo_435,1.7016
santo_domingo_436,7.2407
santo_domingo_437,17.4262
santo_domingo_438,7.3505
santo_domingo_439,13.6097
santo_domingo_440,102.4914
santo_domingo_441,11.6865
santo_domingo_442,54.8006
santo_domingo_443,22.2165
santo_domingo_444,16.1413
santo_domingo_445,23.9256
santo_domingo_446,4.2202
santo_domingo_447,35.8233
santo_domingo_448,4.5594
santo_domingo_449,2.2077
santo_domingo_450,7.8242
santo_domingo_451,21.2763
santo_domingo_452,9.3808
santo_domingo_453,3.0402
santo_domingo_454,47.9077
santo_domingo_455,42.3249
santo_domingo_456,4.3300
santo_domingo_457,4.2149
santo_domingo_458,5.8090
santo_domingo_459,17.8145
santo_domingo_460,51.2927
santo_domingo_461,8.1459
santo_domingo_462,22.0686
santo_domingo_463,14.9457
santo_domingo_464,2.2303
santo_domingo_465,1.9612
santo_domingo_466,28.5555
santo_domingo_467,33.6657
santo_domingo_468,1.2451
santo_domingo_469,2.9185
santo_domingo_470,2.7732
santo_domingo_471,1.7620
santo_domingo_472,3.8042
santo_domingo_473,102.1341
santo_domingo_474,4.3573
