building_id,resident_population
lomas_centinela_212,0.6570
lomas_centinela_213,3.6823
lomas_centinela_214,2.2650
lomas_centinela_215,1.1280
lomas_centinela_216,1.0079
lomas_centinela_217,4.3574
lomas_centinela_218,0.5351
lomas_centinela_219,2.6378
lomas_centinela_220,3.0454
lomas_centinela_221,3.2446
lomas_centinela_222,1.7967
lomas_centinela_223,1.2346
lomas_centinela_224,1.6542
lomas_centinela_225,1.4633
lomas_centinela_226,0.8502
lomas_centinela_227,3.1131
lomas_centinela_228,2.6683
lomas_centinela_229,0.8764
lomas_centinela_230,3.8925
lomas_centinela_231,3.2054
lomas_centinela_232,1.1212
lomas_centinela_233,4.7690
lomas_centinela_234,0.6421
lomas_centinela_235,7.8667
lomas_centinela_236,5.0493
lomas_centinela_237,5.9270
lomas_centinela_238,1.6794
lomas_centinela_239,0.7962
lomas_centinela_240,3.6929
lomas_centinela_241,2.3659
lomas_centinela_242,8.2157
lomas_centinela_243,0.7931
lomas_centinela_244,0.8305
lomas_centinela_245,2.7930
lomas_centinela_246,21.0285
lomas_centinela_247,0.8535
lomas_centinela_248,2.8222
lomas_centinela_249,1.6329
lomas_centinela_250,8.0483
lomas_centinela_251,0.8513
lomas_centinela_252,2.1176
lomas_centinela_253,3.1295
lomas_centinela_254,1.5515
lomas_centinela_255,2.0807
lomas_centinela_256,1.5554
lomas_centinela_257,1.2319
lomas_centinela_258,4.9791
lomas_centinela_259,0.7904
lomas_centinela_260,4.8384
lomas_centinela_261,1.5315
lomas_centinela_262,7.1661
lomas_centinela_263,1.0265
lomas_centinela_264,1.8348
lomas_centinela_265,6.2779
lomas_centinela_266,1.0013
lomas_centinela_267,1.1566
lomas_centinela_268,8.5622
lomas_centinela_269,1.7358
lomas_centinela_270,2.1670
lomas_centinela_271,1.4799
lomas_centinela_272,1.6911
lomas_centinela_273,6.4116
lomas_centinela_274,1.7190
lomas_centinela_275,0.7337
lomas_centinela_276,0.6065
lomas_centinela_277,3.7779
lomas_centinela_278,2.7599
lomas_centinela_279,5.0766
lomas_centinela_280,5.9203
lomas_centinela_281,0.6606
lomas_centinela_282,1.9120
lomas_centinela_283,1.4101
lomas_centinela_284,0.9740
lomas_centinela_285,1.1452
lomas_centinela_286,3.9500
lomas_centinela_287,3.5301
lomas_centinela_288,1.0616
lomas_centinela_289,12.7786
lomas_centinela_290,4.1278
lomas_centinela_291,12.5736
lomas_centinela_292,4.8340
lomas_centinela_293,0.5543
lomas_centinela_294,11.9013
lomas_centinela_295,1.4044
lomas_centinela_296,4.6292
lomas_centinela_297,1.2829
lomas_centinela_298,1.9748
lomas_centinela_299,7.4945
lomas_centinela_300,1.0001
lomas_centinela_301,1.3089
lomas_centinela_302,2.1743
lomas_centinela_303,4.9650
lomas_centinela_304,0.8360
lomas_centinela_305,0.3368
lomas_centinela_306,1.2696
lomas_centinela_307,2.2882
lomas_centinela_308,0.4986
lomas_centinela_309,1.1599
lomas_centinela_310,5.8512
lomas_centinela_311,1.0123
lomas_centinela_312,2.8097
lomas_centinela_313,2.1071
lomas_centinela_314,2.1634
lomas_centinela_315,3.1077
lomas_centinela_316,0.9088
lomas_centinela_317,1.5240
lomas_centinela_318,2.8075
lomas_centinela_319,1.2738
lomas_centinela_320,10.8571
lomas_centinela_321,1.5152
lomas_centinela_322,0.6948
lomas_centinela_323,1.1615
lomas_centinela_324,2.2048
lomas_centinela_325,1.2998
lomas_centinela_326,0.6934
lomas_centinela_327,50.8615
lomas_centinela_328,4.9899
lomas_centinela_329,6.9929
lomas_centinela_330,2.0311
lomas_centinela_331,2.3121
lomas_centinela_332,23.0556
lomas_centinela_333,3.1413
lomas_centinela_334,1.8562
lomas_centinela_335,4.8945
lomas_centinela_336,6.4175
lomas_centinela_337,1.9905
lomas_centinela_338,5.4184
lomas_centinela_339,1.8160
lomas_centinela_340,1.6018
lomas_centinela_341,0.8986
lomas_centinela_342,2.3270
lomas_centinela_343,1.2501
lomas_centinela_344,2.9454
lomas_centinela_345,3.6904
lomas_centinela_346,5.7999
lomas_centinela_347,0.8624
lomas_centinela_348,0.9798
lomas_centinela_349,3.0838
lomas_centinela_350,2.3613
lomas_centinela_351,3.8015
lomas_centinela_352,3.1907
lomas_centinela_353,0.5529
lomas_centinela_354,2.3637
lomas_centinela_355,6.6087
lomas_centinela_356,0.8067
lomas_centinela_357,2.3897
lomas_centinela_358,8.6176
lomas_centinela_359,3.1527
lomas_centinela_360,1.7841
lomas_centinela_361,2.6655
lomas_centinela_362,1.2047
lomas_centinela_363,0.5041
lomas_centinela_364,1.9029
lomas_centinela_365,0.1834
lomas_centinela_366,2.3266
lomas_centinela_367,1.5457
lomas_centinela_368,4.7629
lomas_centinela_369,2.6341
lomas_centinela_370,1.1011
lomas_centinela_371,6.4547
lomas_centinela_372,1.5003
lomas_centinela_373,2.3403
lomas_centinela_374,2.4258
lomas_centinela_375,5.7434
lomas_centinela_376,6.5778
lomas_centinela_377,2.3887
lomas_centinela_378,2.3044
lomas_centinela_379,0.7007
lomas_centinela_380,0.9734
lomas_centinela_381,0.9770
lomas_centinela_382,2.5740
lomas_centinela_383,0.8871
lomas_centinela_384,1.1692
lomas_centinela_385,0.5106
lomas_centinela_386,8.5456
lomas_centinela_387,0.7861
lomas_centinela_388,2.3258
lomas_centinela_389,2.0294
lomas_centinela_390,0.4908
lomas_centinela_391,6.0860
lomas_centinela_392,3.5327
lomas_centinela_393,6.9670
lomas_centinela_394,2.7981
lomas_centinela_395,0.8277
lomas_centinela_396,1.1859
lomas_centinela_397,2.3382
lomas_centinela_398,0.7570
lomas_centinela_399,2.2363
lomas_centinela_400,0.3912
lomas_centinela_401,3.0737
lomas_centinela_402,4.2921
lomas_centinela_403,4.6478
lomas_centinela_404,1.2881
lomas_centinela_405,0.1681
lomas_centinela_406,0.4751
lomas_centinela_407,2.9891
lomas_centinela_408,3.3577
lomas_centinela_409,2.3173
lomas_centinela_410,4.5672
lomas_centinela_411,0.5115
lomas_centinela_412,4.6756
lomas_centinela_413,0.4203
lomas_centinela_414,22.6867
lomas_centinela_415,3.9149
lomas_centinela_416,0.8156
lomas_centinela_417,1.4528
lomas_centinela_418,3.6927
lomas_centinela_419,0.4269
lomas_centinela_420,0.1619
lomas_centinela_421,3.9819
lomas_centinela_422,2.7652
lomas_centinela_423,2.0463
lomas_centinela_424,1.6121
lomas_centinela_425,2.9186
lomas_centinela_426,0.9519
lomas_centinela_427,37.5249
lomas_centinela_428,3.6902
lomas_centinela_429,1.6600
lomas_centinela_430,2.9224
lomas_centinela_431,1.5893
lomas_centinela_432,3.0374
lomas_centinela_433,3.5935
lomas_centinela_434,2.0386
lomas_centinela_435,0.4082
