lon,lat,vs30_ms
-90.616667,14.750000,506.4
-90.608333,14.750000,467.4
-90.600000,14.750000,459.0
-90.591667,14.750000,501.6
-90.583333,14.750000,528.5
-90.575000,14.750000,519.9
-90.566667,14.750000,505.7
-90.558333,14.750000,479.9
-90.550000,14.750000,471.4
-90.541667,14.750000,516.0
-90.533333,14.750000,549.5
-90.525000,14.750000,545.0
-90.516667,14.750000,561.1
-90.508333,14.750000,563.9
-90.500000,14.750000,409.5
-90.491667,14.750000,611.6
-90.483333,14.750000,874.6
-90.475000,14.750000,602.8
-90.466667,14.750000,549.8
-90.458333,14.750000,573.4
-90.450000,14.750000,490.7
-90.441667,14.750000,525.0
-90.433333,14.750000,534.0
-90.425000,14.750000,844.8
-90.616667,14.741667,582.2
-90.608333,14.741667,547.4
-90.600000,14.741667,517.2
-90.591667,14.741667,484.7
-90.583333,14.741667,533.1
-90.575000,14.741667,605.7
-90.566667,14.741667,609.9
-90.558333,14.741667,513.6
-90.550000,14.741667,392.6
-90.541667,14.741667,434.7
-90.533333,14.741667,485.2
-90.525000,14.741667,464.0
-90.516667,14.741667,492.5
-90.508333,14.741667,557.6
-90.500000,14.741667,501.4
-90.491667,14.741667,526.4
-90.483333,14.741667,846.8
-90.475000,14.741667,661.4
-90.466667,14.741667,445.1
-90.458333,14.741667,526.5
-90.450000,14.741667,406.0
-90.441667,14.741667,420.7
-90.433333,14.741667,429.0
-90.425000,14.741667,767.4
-90.616667,14.733333,647.6
-90.608333,14.733333,583.3
-90.600000,14.733333,571.6
-90.591667,14.733333,488.9
-90.583333,14.733333,447.1
-90.575000,14.733333,580.0
-90.566667,14.733333,647.7
-90.558333,14.733333,534.4
-90.550000,14.733333,393.9
-90.541667,14.733333,412.6
-90.533333,14.733333,479.8
-90.525000,14.733333,454.6
-90.516667,14.733333,456.8
-90.508333,14.733333,574.4
-90.500000,14.733333,555.1
-90.491667,14.733333,453.8
-90.483333,14.733333,829.6
-90.475000,14.733333,721.8
-90.466667,14.733333,421.8
-90.458333,14.733333,524.8
-90.450000,14.733333,444.5
-90.441667,14.733333,370.5
-90.433333,14.733333,510.9
-90.425000,14.733333,597.0
-90.616667,14.725000,657.1
-90.608333,14.725000,561.2
-90.600000,14.725000,537.7
-90.591667,14.725000,548.5
-90.583333,14.725000,580.2
-90.575000,14.725000,616.6
-90.566667,14.725000,571.5
-90.558333,14.725000,478.0
-90.550000,14.725000,421.5
-90.541667,14.725000,390.0
-90.533333,14.725000,417.4
-90.525000,14.725000,439.7
-90.516667,14.725000,430.1
-90.508333,14.725000,497.3
-90.500000,14.725000,532.6
-90.491667,14.725000,482.8
-90.483333,14.725000,872.5
-90.475000,14.725000,725.5
-90.466667,14.725000,400.0
-90.458333,14.725000,556.8
-90.450000,14.725000,503.4
-90.441667,14.725000,423.1
-90.433333,14.725000,424.1
-90.425000,14.725000,504.1
-90.616667,14.716667,555.6
-90.608333,14.716667,560.4
-90.600000,14.716667,548.6
-90.591667,14.716667,611.5
-90.583333,14.716667,653.1
-90.575000,14.716667,596.1
-90.566667,14.716667,480.9
-90.558333,14.716667,417.2
-90.550000,14.716667,451.0
-90.541667,14.716667,458.9
-90.533333,14.716667,425.0
-90.525000,14.716667,437.1
-90.516667,14.716667,439.3
-90.508333,14.716667,507.9
-90.500000,14.716667,461.0
-90.491667,14.716667,576.0
-90.483333,14.716667,854.7
-90.475000,14.716667,640.0
-90.466667,14.716667,393.6
-90.458333,14.716667,565.7
-90.450000,14.716667,518.0
-90.441667,14.716667,376.8
-90.433333,14.716667,380.3
-90.425000,14.716667,496.4
-90.616667,14.708333,472.6
-90.608333,14.708333,548.3
-90.600000,14.708333,590.3
-90.591667,14.708333,711.5
-90.583333,14.708333,659.7
-90.575000,14.708333,519.3
-90.566667,14.708333,430.3
-90.558333,14.708333,412.3
-90.550000,14.708333,435.5
-90.541667,14.708333,442.0
-90.533333,14.708333,416.1
-90.525000,14.708333,450.5
-90.516667,14.708333,548.4
-90.508333,14.708333,565.7
-90.500000,14.708333,334.5
-90.491667,14.708333,705.8
-90.483333,14.708333,869.5
-90.475000,14.708333,600.0
-90.466667,14.708333,472.6
-90.458333,14.708333,595.4
-90.450000,14.708333,492.4
-90.441667,14.708333,465.2
-90.433333,14.708333,303.0
-90.425000,14.708333,468.1
-90.616667,14.700000,609.3
-90.608333,14.700000,630.5
-90.600000,14.700000,597.4
-90.591667,14.700000,674.4
-90.583333,14.700000,624.8
-90.575000,14.700000,467.1
-90.566667,14.700000,400.1
-90.558333,14.700000,432.9
-90.550000,14.700000,412.3
-90.541667,14.700000,406.9
-90.533333,14.700000,406.3
-90.525000,14.700000,420.8
-90.516667,14.700000,537.1
-90.508333,14.700000,540.0
-90.500000,14.700000,527.2
-90.491667,14.700000,717.7
-90.483333,14.700000,815.1
-90.475000,14.700000,562.1
-90.466667,14.700000,525.3
-90.458333,14.700000,601.0
-90.450000,14.700000,434.0
-90.441667,14.700000,439.1
-90.433333,14.700000,583.1
-90.425000,14.700000,589.5
-90.616667,14.691667,772.3
-90.608333,14.691667,655.7
-90.600000,14.691667,601.8
-90.591667,14.691667,598.3
-90.583333,14.691667,533.0
-90.575000,14.691667,459.1
-90.566667,14.691667,419.4
-90.558333,14.691667,392.5
-90.550000,14.691667,426.9
-90.541667,14.691667,447.8
-90.533333,14.691667,443.9
-90.525000,14.691667,435.2
-90.516667,14.691667,470.7
-90.508333,14.691667,506.2
-90.500000,14.691667,573.6
-90.491667,14.691667,560.2
-90.483333,14.691667,625.9
-90.475000,14.691667,654.7
-90.466667,14.691667,477.6
-90.458333,14.691667,568.6
-90.450000,14.691667,442.1
-90.441667,14.691667,470.3
-90.433333,14.691667,626.1
-90.425000,14.691667,581.6
-90.616667,14.683333,753.1
-90.608333,14.683333,678.0
-90.600000,14.683333,602.8
-90.591667,14.683333,520.7
-90.583333,14.683333,462.3
-90.575000,14.683333,436.8
-90.566667,14.683333,416.6
-90.558333,14.683333,415.8
-90.550000,14.683333,418.5
-90.541667,14.683333,418.0
-90.533333,14.683333,417.4
-90.525000,14.683333,486.1
-90.516667,14.683333,444.7
-90.508333,14.683333,524.1
-90.500000,14.683333,540.1
-90.491667,14.683333,438.5
-90.483333,14.683333,492.0
-90.475000,14.683333,601.3
-90.466667,14.683333,427.3
-90.458333,14.683333,478.6
-90.450000,14.683333,425.9
-90.441667,14.683333,520.4
-90.433333,14.683333,623.5
-90.425000,14.683333,581.4
-90.616667,14.675000,752.9
-90.608333,14.675000,622.9
-90.600000,14.675000,557.9
-90.591667,14.675000,502.4
-90.583333,14.675000,452.5
-90.575000,14.675000,432.0
-90.566667,14.675000,398.2
-90.558333,14.675000,434.4
-90.550000,14.675000,453.4
-90.541667,14.675000,456.2
-90.533333,14.675000,459.2
-90.525000,14.675000,426.9
-90.516667,14.675000,444.2
-90.508333,14.675000,501.3
-90.500000,14.675000,435.1
-90.491667,14.675000,407.3
-90.483333,14.675000,418.9
-90.475000,14.675000,516.4
-90.466667,14.675000,381.5
-90.458333,14.675000,375.5
-90.450000,14.675000,354.9
-90.441667,14.675000,508.7
-90.433333,14.675000,640.4
-90.425000,14.675000,609.9
-90.616667,14.666667,751.1
-90.608333,14.666667,568.5
-90.600000,14.666667,511.9
-90.591667,14.666667,482.0
-90.583333,14.666667,421.4
-90.575000,14.666667,421.9
-90.566667,14.666667,377.6
-90.558333,14.666667,430.4
-90.550000,14.666667,492.4
-90.541667,14.666667,480.1
-90.533333,14.666667,477.2
-90.525000,14.666667,428.5
-90.516667,14.666667,469.4
-90.508333,14.666667,396.6
-90.500000,14.666667,320.3
-90.491667,14.666667,332.8
-90.483333,14.666667,429.9
-90.475000,14.666667,507.4
-90.466667,14.666667,293.8
-90.458333,14.666667,395.3
-90.450000,14.666667,401.2
-90.441667,14.666667,455.6
-90.433333,14.666667,568.5
-90.425000,14.666667,616.2
-90.616667,14.658333,643.8
-90.608333,14.658333,559.7
-90.600000,14.658333,491.4
-90.591667,14.658333,446.1
-90.583333,14.658333,403.4
-90.575000,14.658333,394.6
-90.566667,14.658333,326.9
-90.558333,14.658333,326.9
-90.550000,14.658333,494.6
-90.541667,14.658333,487.8
-90.533333,14.658333,417.4
-90.525000,14.658333,429.9
-90.516667,14.658333,428.7
-90.508333,14.658333,332.5
-90.500000,14.658333,320.6
-90.491667,14.658333,222.6
-90.483333,14.658333,415.6
-90.475000,14.658333,433.2
-90.466667,14.658333,387.2
-90.458333,14.658333,415.0
-90.450000,14.658333,380.9
-90.441667,14.658333,396.5
-90.433333,14.658333,529.1
-90.425000,14.658333,579.4
-90.616667,14.650000,586.5
-90.608333,14.650000,560.4
-90.600000,14.650000,483.5
-90.591667,14.650000,411.3
-90.583333,14.650000,385.5
-90.575000,14.650000,388.5
-90.566667,14.650000,319.7
-90.558333,14.650000,357.1
-90.550000,14.650000,461.9
-90.541667,14.650000,486.1
-90.533333,14.650000,415.6
-90.525000,14.650000,341.5
-90.516667,14.650000,402.8
-90.508333,14.650000,327.1
-90.500000,14.650000,350.3
-90.491667,14.650000,279.1
-90.483333,14.650000,378.7
-90.475000,14.650000,385.8
-90.466667,14.650000,364.5
-90.458333,14.650000,397.0
-90.450000,14.650000,341.3
-90.441667,14.650000,421.1
-90.433333,14.650000,527.5
-90.425000,14.650000,482.6
-90.616667,14.641667,630.8
-90.608333,14.641667,553.3
-90.600000,14.641667,469.3
-90.591667,14.641667,398.2
-90.583333,14.641667,395.2
-90.575000,14.641667,381.1
-90.566667,14.641667,371.2
-90.558333,14.641667,410.2
-90.550000,14.641667,423.7
-90.541667,14.641667,444.2
-90.533333,14.641667,386.8
-90.525000,14.641667,410.7
-90.516667,14.641667,303.3
-90.508333,14.641667,345.8
-90.500000,14.641667,356.7
