lon,lat,vs30_ms
-70.050000,18.566667,415.5
-70.041667,18.566667,395.5
-70.033333,18.566667,324.3
-70.025000,18.566667,317.3
-70.016667,18.566667,261.1
-70.008333,18.566667,317.7
-70.000000,18.566667,327.5
-69.991667,18.566667,276.0
-69.983333,18.566667,304.4
-69.975000,18.566667,367.0
-69.966667,18.566667,315.4
-69.958333,18.566667,227.8
-69.950000,18.566667,241.1
-69.941667,18.566667,280.4
-69.933333,18.566667,275.0
-69.925000,18.566667,268.5
-69.916667,18.566667,331.9
-69.908333,18.566667,204.4
-69.900000,18.566667,323.9
-69.891667,18.566667,312.5
-69.883333,18.566667,264.5
-69.875000,18.566667,233.4
-69.866667,18.566667,234.0
-69.858333,18.566667,236.6
-69.850000,18.566667,208.3
-69.841667,18.566667,227.5
-70.050000,18.558333,316.3
-70.041667,18.558333,399.5
-70.033333,18.558333,365.2
-70.025000,18.558333,323.4
-70.016667,18.558333,329.7
-70.008333,18.558333,281.7
-70.000000,18.558333,271.2
-69.991667,18.558333,258.5
-69.983333,18.558333,277.4
-69.975000,18.558333,354.0
-69.966667,18.558333,362.1
-69.958333,18.558333,315.9
-69.950000,18.558333,223.7
-69.941667,18.558333,295.2
-69.933333,18.558333,299.6
-69.925000,18.558333,259.9
-69.916667,18.558333,303.2
-69.908333,18.558333,299.9
-69.900000,18.558333,282.0
-69.891667,18.558333,331.9
-69.883333,18.558333,313.1
-69.875000,18.558333,294.2
-69.866667,18.558333,274.0
-69.858333,18.558333,272.5
-69.850000,18.558333,237.0
-69.841667,18.558333,227.1
-70.050000,18.550000,339.5
-70.041667,18.550000,332.6
-70.033333,18.550000,347.7
-70.025000,18.550000,349.6
-70.016667,18.550000,314.6
-70.008333,18.550000,296.5
-70.000000,18.550000,283.5
-69.991667,18.550000,275.9
-69.983333,18.550000,271.1
-69.975000,18.550000,269.8
-69.966667,18.550000,345.0
-69.958333,18.550000,343.1
-69.950000,18.550000,314.4
-69.941667,18.550000,226.7
-69.933333,18.550000,301.1
-69.925000,18.550000,297.6
-69.916667,18.550000,260.0
-69.908333,18.550000,320.7
